x_vals,y_vals,labels
46.077404,-52.444485,’
45.481335,-51.189598,de
45.470936,-51.204998,la
45.50298,-51.292126,et
45.533474,-51.248108,le
45.51932,-51.323006,à
45.901093,-52.63973,il
45.440704,-51.11771,les
45.783264,-51.397427,l
45.575275,-51.383698,un
45.7795,-51.42232,d
45.852962,-52.674,que
45.6364,-51.64839,en
45.493828,-51.121647,des
45.48748,-51.343,une
45.384174,-52.60573,elle
45.522266,-51.42792,qui
45.83743,-52.8579,je
45.399086,-51.29454,dans
45.877827,-52.8271,ne
45.916,-52.83903,pas
45.382767,-51.40855,se
45.949894,-52.783463,qu
45.48016,-51.154087,du
45.856403,-52.09743,s
45.817043,-52.85013,vous
45.365925,-51.399693,son
45.97527,-52.69348,est
45.79097,-52.603073,ce
45.572163,-51.88616,pour
45.870735,-52.6141,était
45.455975,-51.245552,au
45.975758,-52.90168,n
45.28453,-52.556816,lui
45.089066,-51.51827,sa
45.829876,-52.57697,avait
45.310863,-51.333973,sur
45.66718,-52.431923,plus
45.751564,-52.62244,on
45.691383,-52.638615,mais
45.46469,-51.220203,par
45.402927,-52.29295,comme
45.372818,-51.484894,avec
45.24698,-51.330166,ses
45.689598,-52.60339,tout
45.71673,-52.708946,si
45.907104,-52.986378,c
45.94952,-52.76194,a
45.44373,-51.323147,cette
45.693615,-52.768063,bien
45.695557,-52.78646,me
45.439545,-52.610992,nous
45.951633,-52.8003,y
45.759876,-52.816345,m
45.888386,-52.840744,j
45.44395,-51.68714,sans
45.15414,-52.314327,ils
45.77975,-52.672356,dit
45.61681,-52.685463,mon
44.339874,-52.679367,où
45.3733,-51.29254,ces
44.57244,-51.99617,deux
45.38112,-51.347164,aux
42.39268,-54.438606,ai
45.09508,-52.69793,encore
42.6735,-53.67831,tu
43.904594,-52.840744,même
43.651535,-52.903946,puis
43.85951,-53.063072,quand
44.38445,-52.349228,leur
42.476345,-54.128815,moi
44.296837,-52.562794,dont
43.011555,-53.66851,fait
43.662933,-53.01267,ma
43.726063,-53.10168,être
42.86238,-53.29962,faire
43.50945,-52.828423,sous
42.56494,-53.55254,homme
44.233166,-52.579906,ou
