x_vals,y_vals,labels
67.77669,-26.711945,’
67.7593,-26.738312,de
67.90295,-26.519104,la
68.1119,-26.205236,le
68.26128,-25.980598,à
67.94534,-26.45547,et
68.417816,-25.743542,l
67.84629,-26.604486,les
68.50207,-25.61842,en
67.85011,-26.598475,un
68.54678,-25.55041,il
68.39542,-25.77771,d
68.75625,-25.23654,que
67.855675,-26.59068,une
67.93973,-26.46375,qui
67.85921,-26.585386,des
68.235855,-26.018204,vous
68.62021,-25.441236,dans
70.38468,-22.797325,est
69.98189,-23.407368,je
68.516624,-25.596203,ne
69.69472,-23.837944,pour
69.086876,-24.747253,ce
69.55965,-24.039919,du
70.123985,-23.189528,se
69.17109,-24.620993,par
70.865364,-22.05651,pas
69.04752,-24.804586,elle
71.1593,-21.593191,son
70.15216,-23.14677,dit
70.62993,-22.418951,qu
69.0693,-24.773035,au
69.18265,-24.60393,sa
70.65708,-22.38244,s
69.37646,-24.313965,a
70.34016,-22.864662,n
68.49635,-25.626884,comme
68.63679,-25.41664,lui
69.04027,-24.81707,cette
68.44607,-25.702166,plus
70.30071,-22.924688,sur
71.44032,-21.143719,mais
68.861145,-25.08347,si
69.13546,-24.67467,avec
79.731125,4.1408253,monsieur
71.65937,-20.790297,bien
73.45157,-17.672707,on
70.91756,-21.974827,avait
76.17884,-11.6713295,madame
69.23749,-24.521088,ses
69.09301,-24.737875,était
71.53521,-20.99136,mon
71.03301,-21.79216,tout
74.03194,-16.53957,c
69.75408,-23.749727,où
69.2489,-24.503803,y
71.13184,-21.635723,nous
72.522285,-19.3538,deux
72.461845,-19.460917,me
69.653946,-23.89917,ces
72.24812,-19.821613,j
72.74261,-18.977003,femme
73.18618,-18.17411,ai
68.902534,-25.021872,sans
74.62347,-15.314834,ma
70.69828,-22.317297,homme
73.76384,-17.066387,faire
75.309494,-13.801995,tu
53.181828,10.424622,francs
74.270195,-16.052654,car
73.121346,-18.293987,m
72.86096,-18.765387,chez
70.30299,-22.921116,votre
70.80957,-22.143105,être
78.129944,-5.4740057,mille
72.931595,-18.64021,fait
70.562256,-22.526014,aux
79.08732,0.24878578,moi
75.37278,-13.658948,tous
72.96835,-18.573093,avoir
-8.350411,5.6413274,baron
76.52982,-10.70097,fut
73.28612,-17.98971,dont
71.80804,-20.546686,quand
75.88575,-12.418129,après
70.853455,-22.074911,sont
72.16325,-19.962149,fille
72.347885,-19.651407,ou
68.45063,-25.695389,lucien
73.26503,-18.02903,ils
71.25308,-21.445316,leur
75.48018,-13.406077,répondit
77.58362,-7.461911,ans
79.6299,5.161877,te
78.73565,-3.6155174,aussi
73.32971,-17.90356,donc
73.117035,-18.301239,pauvre
78.829796,-3.0245047,trois
73.67106,-17.25139,vie
-23.03576,-23.203028,pons
76.840935,-9.788728,rien
75.91095,14.31039,père
80.37199,4.232914,voir
78.13699,-5.4584346,ah
74.77433,-14.991527,suis
74.183395,-16.231407,jamais
76.092476,-11.879136,paris
71.95883,-20.300222,sous
73.19197,-18.165869,cet
75.08931,-14.302104,encore
79.01131,-0.436442,mère
78.88847,-3.335984,eh
78.249825,-5.08518,pendant
-12.30337,-1.3258647,cibot
75.52468,-13.291727,moment
78.32665,-5.263405,fit
-0.6573669,-11.162585,schmucke
-26.398815,10.4851675,crevel
78.64389,-3.4192715,rue
75.604614,-13.115948,toujours
76.32281,-11.274304,avez
15.331226,7.659901,philippe
72.80795,-18.860086,été
78.298355,-5.27759,depuis
78.53554,-4.497208,là
78.734886,-2.3360488,toutes
-22.718027,17.0821,hulot
77.27278,-8.485822,maison
74.62165,-15.320345,yeux
71.78723,-20.5807,ont
75.77213,-12.688427,alors
79.50889,0.990556,petit
70.589226,-22.482212,esther
73.36645,-17.83665,gens
-29.618843,25.27621,jacques
45.152927,5.5184426,chambre
74.885765,-14.752514,même
-50.646835,-13.841423,collin
65.998795,19.67565,cent
79.46522,0.89406896,heures
72.85814,-18.770725,jeune
72.75248,-18.958622,leurs
43.576942,4.2717505,ainsi
53.11507,5.0610733,écria
76.266075,-11.430787,jours
72.12699,-20.023184,ni
78.35435,-5.303697,dire
74.58409,-15.3978815,reprit
51.321312,10.600825,petite
77.51498,-7.743545,mes
77.67105,13.638621,fois
77.28036,-8.452062,grand
60.328884,18.665768,mort
77.08194,-9.065665,monde
78.469124,-4.1085777,temps
80.172005,0.9305221,femmes
80.16473,4.9382477,vieux
78.49841,11.130255,voilà
-41.358204,-17.739754,lisbeth
79.92037,0.7623674,assez
77.5748,-7.4682665,enfin
73.30638,-17.951353,quelque
79.86704,1.6486944,porte
76.10067,-11.876666,cœur
77.70017,-7.00749,faut
74.53815,-15.494327,tant
77.37176,-8.0742,êtes
-10.422554,9.668489,marneffe
40.27742,2.785976,cela
76.20313,-11.616495,entre
54.46533,12.892811,fils
75.35007,-13.705504,quelques
-39.38218,-19.949446,joseph
75.47041,-13.4227085,jour
78.84427,-2.1007152,toute
-17.137812,-43.548023,valérie
79.22198,0.31178212,ami
74.84224,-14.844172,peut
77.68931,-7.062714,dit-elle
77.44215,-7.9505177,dit-il
70.428535,19.339369,non
74.584915,19.105162,sera
76.039925,-12.031241,oh
77.83252,-6.5654597,fortune
74.14025,-16.319057,amour
75.084755,-14.309575,peu
-28.486576,39.28115,état
7.706508,10.861939,camusot
78.66835,-3.2854059,autre
75.28612,16.247406,puis
77.411194,-8.044136,notre
76.31211,-11.302094,tête
64.66102,19.328817,ailleurs
-31.332794,36.46845,hortense
56.106808,5.8205247,famille
74.21782,-16.161203,trop
75.9204,14.228994,oui
78.41294,7.958943,ici
79.19708,10.880709,ton
77.88124,-6.036295,mot
77.24597,-8.57008,dieu
75.60678,-13.103282,enfant
77.46148,-7.8109894,cher
77.23418,-8.61355,eut
78.86863,-2.2614539,mois
78.464195,-3.9711485,air
79.22424,11.751642,belle
49.879704,1.1202196,bon
79.08834,-1.0995005,main
52.388397,5.769371,dix
79.75654,9.210515,aller
79.76487,10.575474,mademoiselle
78.1116,11.43895,argent
76.465965,-10.878672,comment
74.64022,15.6801815,t
6.8523617,-11.528377,ça
76.40389,-11.063809,vos
73.45727,17.576456,police
73.98197,-16.636908,elles
80.37664,5.237738,va
74.95054,-14.608296,étaient
-5.4464192,-14.803391,baronne
49.560455,0.61177474,demanda
2.8369422,-18.163855,mari
79.369026,0.49055308,donner
59.078083,6.097584,place
8.981762,-11.993205,max
-25.465578,17.314331,cinq
79.11527,2.9013305,eu
77.6429,-7.3040175,celui
56.89873,15.271184,or
78.08893,-5.889361,personne
77.1959,-8.723476,jusqu
79.15968,0.9627877,prendre
77.04753,14.457269,seul
76.20519,-11.598027,chose
-32.18575,1.0395261,hochon
76.22511,-11.542095,est-ce
79.002945,6.4228024,nom
78.9264,-2.0065706,bonne
76.134476,15.719713,déjà
75.449554,-13.471711,laquelle
76.00662,-12.105754,moins
-4.1646857,-19.878647,agathe
79.35924,1.6138097,celle
79.84023,3.7557325,devait
30.220018,-16.708832,juge
78.49789,-4.6875434,mis
13.6370735,17.149872,flore
79.29306,11.180465,devant
75.2438,-13.95264,point
79.21773,0.32682985,serait
-0.7962686,-3.7494476,affaire
62.813934,19.84793,chère
76.88327,14.906236,avant
47.55789,-0.6212878,enfants
-27.971931,-10.522154,corentin
11.550031,-11.4241495,général
-8.753088,24.381588,peyrade
1.4427305,-6.054513,nucingen
24.568705,2.078055,cousine
79.78338,5.0588164,savoir
47.638443,2.6316311,quatre
79.91252,4.3431883,beaucoup
63.07143,21.222256,lettre
79.28649,9.223213,comte
76.43332,-10.964129,hommes
76.19583,-11.638022,eût
76.49295,-10.799774,voix
-31.719913,-9.689745,vieille
79.090675,-1.5130758,ceux
71.92543,18.403841,premier
79.5457,8.43812,contre
47.24204,12.051727,faisait
-5.3381147,-16.358015,docteur
78.04029,-5.5016856,bras
60.927597,15.6365385,veux
60.03408,16.649162,toi
41.728573,6.9126086,affaires
77.848656,9.684026,matin
51.46367,8.805122,ta
78.83534,-2.6236708,première
77.85227,11.759091,aime
78.237236,-4.4252276,vu
19.422432,24.237232,rouget
74.22604,-16.145065,avaient
-19.627869,-12.246522,dîner
13.675802,-6.456325,six
78.369446,-3.5891695,autres
78.70806,-2.5676947,force
77.48852,-7.825503,mieux
36.164467,-4.4348297,frère
75.18538,15.061998,très
78.71256,-2.5277598,pouvait
75.34168,14.068677,soit
-34.05523,3.7774963,wenceslas
-27.991686,14.859444,fraisier
79.46367,4.9154005,pris
68.96529,22.410578,voulait
74.030655,-16.538998,aurait
