x_vals,y_vals,labels
34.22817,-54.502804,’
34.06297,-54.671906,de
34.099407,-54.63425,la
34.080647,-54.652973,le
34.373707,-54.358948,il
34.090656,-54.64298,les
34.417355,-54.312695,et
34.229565,-54.50142,à
34.28784,-54.44254,l
34.381027,-54.347248,un
34.432297,-54.298473,d
35.67839,-53.075035,elle
34.282925,-54.44837,une
34.136463,-54.596027,des
34.49361,-54.2381,en
34.59864,-54.134514,se
34.492016,-54.23971,que
35.779312,-52.97517,qu
34.534687,-54.198658,dans
35.27643,-53.470795,s
35.548344,-53.20377,ne
34.433033,-54.297585,qui
35.517086,-53.234306,pas
35.434685,-53.315346,était
35.515236,-53.236145,avait
34.437847,-54.292847,son
34.331657,-54.40036,du
34.76522,-53.972057,lui
34.34184,-54.38763,au
35.91812,-52.83767,n
34.524834,-54.20751,sa
34.605736,-54.127293,pour
34.869892,-53.870056,ce
35.5038,-53.248203,on
34.80599,-53.931763,sur
35.562183,-53.184914,je
35.5258,-53.22578,plus
34.77698,-53.95982,avec
34.697266,-54.039207,ses
35.445972,-53.304245,vous
34.488556,-54.244133,par
35.7391,-53.015003,comme
35.697395,-53.055847,est
37.613525,-51.12249,c
35.81022,-52.944023,mais
35.474888,-53.275673,tout
35.63361,-53.11967,si
38.822,-49.824055,ils
34.82229,-53.915924,cette
35.7245,-53.03101,sans
36.77187,-51.988712,bien
37.81819,-50.90628,y
36.02471,-52.73068,deux
37.021355,-51.731052,où
37.160416,-51.59115,encore
37.155396,-51.59558,a
37.518154,-51.222683,nous
35.539642,-53.212223,aux
37.391315,-51.352917,puis
37.73698,-50.992577,ça
37.589622,-51.144104,leur
40.319923,-48.11947,tu
37.044098,-51.707623,dont
37.551933,-51.186813,même
37.28709,-51.461784,ces
37.469124,-51.27314,être
37.36543,-51.379528,sous
38.82185,-49.824562,quand
37.101986,-51.649952,j
38.705997,-49.951855,là
45.656883,-40.664227,m
39.90483,-48.60646,yeux
38.171066,-50.531544,ai
45.44968,-41.00536,femme
39.010387,-49.615807,me
38.916325,-49.71987,tous
40.084312,-48.39792,faire
41.212902,-47.028416,autre
37.870953,-50.850155,toujours
37.56402,-51.1755,étaient
40.04635,-48.442226,dit
43.218613,-44.373447,alors
44.505272,-42.486706,air
40.828133,-47.50563,fut
38.123177,-50.58017,toute
42.546215,-45.297295,rien
39.175426,-49.430573,homme
39.983395,-48.51503,très
40.470306,-47.940483,tête
41.048634,-47.23444,madame
42.074253,-45.920815,devant
38.789528,-49.85955,avoir
40.142418,-48.326126,donc
44.080765,-43.132313,peu
38.463337,-50.21428,mon
40.13274,-48.34284,chez
41.98151,-46.04289,fait
43.396324,-44.12682,eut
43.079388,-44.569965,est-ce
38.828186,-49.817276,grand
37.767483,-50.95746,depuis
37.463196,-51.277996,leurs
42.34154,-45.571877,jamais
39.703312,-48.835827,voix
43.6937,-43.697372,non
40.264587,-48.18708,coup
45.784687,-40.453976,avaient
43.557236,-43.89755,voir
44.493958,-42.511227,jour
41.249027,-46.98455,ah
39.7969,-48.730362,enfin
46.06253,-39.980385,moi
38.74268,-49.911015,trois
44.32374,-42.770493,porte
41.37461,-46.826427,autres
41.27556,-46.9511,aussi
40.057724,-48.42924,venait
42.21922,-45.732376,petit
44.081047,-43.133465,heures
38.973824,-49.65652,milieu
41.245792,-46.98841,ainsi
38.68405,-49.975334,après
40.43072,-47.988068,déjà
43.46789,-44.0254,jeune
40.10742,-48.37154,grande
38.72741,-49.92715,toutes
41.230106,-47.00712,aurait
43.765812,-43.59299,fois
41.139706,-47.12089,jusqu
39.936237,-48.570457,trop
42.255394,-45.686874,fille
44.241016,-42.894905,pendant
43.320183,-44.230488,maintenant
47.148388,-38.019066,fond
51.332695,-29.595509,bras
40.42214,-47.998035,lorsque
45.585587,-40.783943,maison
44.465805,-42.55353,oui
41.69114,-46.420605,entre
41.28562,-46.936073,chaque
43.087517,-44.56024,faisait
40.0413,-48.448326,monsieur
46.654503,-38.92679,lorsqu
38.97897,-49.64989,mains
44.54377,-42.43803,bon
47.020733,-38.255764,rue
46.21673,-39.711475,elles
43.583275,-43.856945,monde
43.12282,-44.507874,face
43.239105,-44.347416,tandis
43.004025,-44.676163,contre
43.424892,-44.08052,petite
44.538647,-42.44523,heure
47.888668,-36.58591,mère
48.025444,-36.313427,soir
45.14311,-41.49966,enfant
45.823555,-40.38864,cela
42.38883,-45.50816,main
37.47986,-51.261417,francs
41.93216,-46.107677,allait
56.44569,-16.458342,chambre
42.83597,-44.90944,derrière
46.118538,-39.8841,car
40.29427,-48.150524,ma
47.027573,-38.242744,dire
38.745205,-49.90797,dieu
50.406834,-31.474829,te
43.163822,-44.45152,vie
45.22011,-41.37824,quelque
48.3677,-35.633434,oh
59.21519,-12.957007,nuit
57.669098,-14.784961,hommes
44.585445,-42.374454,nouveau
42.157776,-45.80535,seulement
48.49043,-35.38471,semblait
43.94602,-43.33247,père
43.57111,-43.87603,vers
49.83891,-32.637726,pouvait
42.42218,-45.463524,terre
42.53215,-45.316956,dès
42.28991,-45.64146,ans
46.07707,-39.95466,cœur
42.967537,-44.727467,près
41.988575,-46.03589,jours
46.36876,-39.438927,eux
43.640617,-43.77471,matin
42.834896,-44.908905,devait
47.026615,-38.247116,argent
47.620068,-37.11647,bout
46.353497,-39.466064,eu
51.336452,-29.577919,mal
46.113037,-39.890438,point
50.821484,-30.625788,suis
45.91842,-40.225536,temps
54.958977,-20.497313,table
52.08886,-28.084688,trouvait
47.351562,-37.630623,bonne
48.96055,-34.43676,suite
53.111168,-25.85113,paris
51.49024,-29.274141,fit
42.89101,-44.831482,cet
44.16701,-43.006607,ou
45.463165,-40.983303,serait
54.51473,-23.495033,idée
43.214245,-44.37962,quelques
37.724995,-51.00487,mille
49.5197,-33.293385,vieux
45.95896,-40.152283,restait
45.224644,-41.367756,tant
50.73225,-30.800003,silence
54.21297,-22.187967,côté
49.826416,-32.667496,ailleurs
59.13729,-12.536055,regardait
49.476757,-33.378613,pourtant
47.417767,-37.507465,mort
44.00379,-43.24809,seul
42.161575,-45.805313,ayant
48.762417,-34.829502,personne
45.176907,-41.446842,prendre
46.04065,-40.016594,instant
50.715385,-30.839668,voulait
43.00526,-44.6727,votre
55.45313,-21.194683,faut
53.10876,-25.854649,besoin
61.670307,10.215842,lit
42.208977,-45.743893,soleil
51.203697,-29.847672,disait
54.584915,-23.203707,femmes
28.932867,44.507534,mari
44.500603,-42.50338,quatre
58.082417,-11.990325,choses
38.890747,-49.747593,abbé
49.53824,-33.252377,chose
47.353264,-37.625988,peut-être
56.51397,-17.595993,doute
53.050243,-26.16335,rougon
53.782455,-23.142992,moment
48.521618,-35.321175,rire
49.8963,-32.51511,cependant
48.71148,-34.934517,loin
45.854774,-40.332264,gros
42.39203,-45.50556,sont
54.74922,-22.451374,peine
49.14222,-34.068863,avant
54.43267,-21.832972,haut
55.756016,-20.457382,place
50.16561,-31.956135,travail
48.721706,-34.91881,aller
52.776848,-26.676268,seule
56.46612,-18.472391,pourquoi
51.1614,-29.93221,voilà
52.936386,-26.322268,ni
56.938698,-16.220055,peur
45.757595,-40.494926,moins
43.857933,39.18289,t
49.554558,-33.221672,eau
50.867706,-30.52775,pris
52.505444,-27.251722,corps
53.482647,-24.419796,voyait
43.5038,-43.97244,dix
47.614304,-37.115116,eh
51.24834,-29.76272,bas
47.793095,-36.77645,comment
43.219975,-44.37347,répondit
58.8986,-9.537819,enfants
47.151802,-38.009247,petits
46.437675,-39.31887,debout
44.111115,-43.0899,mois
47.339794,-37.650997,cinq
46.74537,-38.762943,reprit
49.975914,-32.351147,grands
48.745487,-34.867943,long
54.042843,-24.768019,mettre
49.041306,-34.266037,tour
49.98007,-32.34637,abord
39.774986,-48.754337,mouret
43.99973,-43.252235,pauvre
56.465412,-16.764843,sentait
53.762657,-23.78219,mieux
58.61401,-12.481275,ville
50.498966,-31.27672,va
43.053604,-44.606308,premier
48.377975,-35.60877,donner
62.139736,0.3514196,coin
48.28186,-35.803318,surtout
48.429424,-35.510746,vu
45.933712,-40.199966,sang
54.33753,-23.538288,épaules
45.95656,-40.159615,coups
-5.1921916,-2.5265892,nana
49.439644,-33.45331,malgré
54.943775,-21.038641,pieds
57.015316,-17.595442,autour
60.583046,0.61759204,sais
44.38034,-42.683193,cent
48.78571,-34.78588,davantage
57.885166,-13.800385,bruit
53.460762,-25.398256,geste
55.035194,-21.817352,belle
51.446693,-29.362295,toi
55.848415,-20.871708,visage
51.152416,-29.954874,ciel
55.852768,-20.362467,fils
56.625134,28.618006,fort
62.78427,6.963773,veux
44.76264,-42.09755,lui-même
51.549053,-29.155537,pièce
45.64349,-40.688923,or
50.890465,-30.483604,avez
53.874313,-23.637184,demanda
57.190563,-16.200401,ton
51.409016,-29.442076,beaucoup
49.323048,-33.692604,beau
51.087994,-30.084475,assez
54.411682,-24.019135,vieille
59.181065,-0.60253423,fin
46.48088,-39.24081,salle
46.092514,-39.92893,dernier
55.750027,-19.849476,bête
48.483524,-35.397648,été
45.593292,-40.772423,gauche
56.52603,25.20478,dames
60.824856,7.574129,eût
54.31528,38.797134,bonheur
63.825386,4.044477,regard
48.828884,-34.699997,fallait
35.156704,40.000687,jean
57.893154,-13.736887,lèvres
38.895336,-49.743927,frère
55.314693,-20.701935,gens
53.70259,-24.609608,brusquement
43.366154,46.790062,rose
44.842644,39.704273,salon
53.101334,-25.957214,sourire
61.175724,-0.5336817,force
49.49656,-33.340675,nom
59.593212,3.2406807,manger
61.20629,21.20666,fenêtre
47.091194,-38.127117,ont
53.695374,-24.754597,ombre
55.73304,-18.790573,passer
51.25726,-29.73909,joie
49.550224,-33.23188,larmes
61.31809,-3.5520132,première
37.440273,-51.302876,saccard
63.783543,3.8397074,vrai
57.779167,-14.651057,garçon
59.111538,-11.922343,savait
55.41194,24.7087,as
-38.801723,-19.65812,pauline
57.997414,-13.904042,feu
52.946682,-26.371141,tenait
50.715782,-30.833805,ensuite
48.317917,-35.727436,cheveux
54.825897,-21.129505,parce
57.60996,-14.872607,parlait
49.230606,-33.880688,longtemps
59.25845,2.9878533,bouche
48.98175,-34.38945,parler
59.22843,-11.809761,mot
51.796436,-28.66197,œil
59.746674,1.9562215,quoi
52.813103,-26.649933,ici
53.198505,-25.72527,voulu
57.90916,-11.197946,famille
48.63672,-35.087963,docteur
-28.392918,33.058483,gervaise
58.945614,-9.533603,amour
54.678814,-22.373827,bois
54.96831,-22.071354,pu
64.05058,7.2088666,reste
62.08319,5.7212253,entendre
52.83284,-26.517126,lendemain
56.462902,-18.439957,blanche
49.341103,-33.656334,affaire
53.014694,-26.128057,simplement
56.2218,-16.65051,fini
51.410305,-29.434355,laisser
49.136433,-34.07556,rouge
57.304707,-12.833461,mit
48.909977,-34.53877,droite
47.981956,-36.402744,plein
49.985683,-32.328224,histoire
59.72518,-6.302063,pain
61.074024,-7.3226833,donnait
52.340485,-27.56368,cria
49.645336,-33.035343,mes
55.43906,-20.840673,resta
54.22291,-22.317194,noir
53.514526,-25.241997,tard
56.51564,-16.384808,êtes
57.88192,-15.18334,savoir
58.986217,21.42271,parut
